subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,4,0.9915889317666665,0.045551688609142056
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,5,0.9908691952666667,0.05328902837070491
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,6,1.0048226923999999,0.04938002812510885
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,0,0.9608426539333332,0.2182018811140862
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,1,1.0306431021666667,0.12697294311187826
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,2,1.012110841333333,0.11061241911786764
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,3,1.0031695495,0.08037833399395053
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,4,0.9977396844999998,0.06468223752230097
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,5,0.9854281434285713,0.07819888575674923
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,medium,6,1.0583484105714285,0.1795217713734892
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,0,0.9546476263333332,0.23788786969617817
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,1,1.0218152444000002,0.15439078047301832
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,2,0.9975604418999999,0.08821536026216673
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,3,1.0043751666333334,0.05727696823055347
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,4,1.0267091136333333,0.2212509241992692
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,5,1.0687233517,0.4304927194244217
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,medium,6,1.0086689045555557,0.08204809766463175
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,0,1.1053716667333333,0.33228396113186215
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,1,1.2222849999333332,0.44227558163783937
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,2,1.1761445556333332,0.3865154617153495
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,3,0.9960463194583332,0.04968806594684681
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,4,0.9976336805416667,0.07650796451781214
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,5,1.0012402084166667,0.061355930623325575
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,medium,6,1.0235123811428573,0.16404776706492996
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,weak,0,0.9846323835999998,0.06525635420970305
